Fiscal Year,Town Code,Municipality,Total Consideration for Taxable Conveyances,Total Amount Due,Consideration for Unimproved Land,Tax on Unimproved Land,Total Consideration for Residential Dwelling,Consideration for Residential Dwelling Under Threshold,Tax on Consideration Under Threshold Residential Dwelling,Consideration for Residential Dwelling Over Threshold,Tax on Consideration Over Threshold Residential Dwelling,Consideration for Residential Dwelling Between $800k-$2.5M,Tax on Consideration Between $800k-$2.5M Residential Dwelling,Consideration for Residential Dwelling Over $2.5M Threshold,Tax on Consideration Over $2.5M Threshold Residential Dwelling,Residential Property Other Than Dwelling,Tax on Residential Property Other Than Dwelling,Nonresidential Property Other Than Unimproved Land,Tax on Nonresidential Property Other Than Unimproved Land,Delinquent Mortgage Conveyance,Tax on Delinquent Mortgagor,Number of Taxable Conveyances,Number of Non-Taxable and Exempt Conveyances
FY 2016-17,019,BROOKLYN (019),31644056.00,244419.00,2296555.00,17224.00,27831361.00,27831361.00,208735.00,0,0,,,,,98440.00,738.00,1417700.00,17721.00,0.00,0.00,163,107
FY 2016-17,020,BURLINGTON (020),57226206.00,436036.00,3732900.00,27997.00,50135806.00,50067900.00,375509.00,67906,849,,,,,2057500.00,15431.00,1300000.00,16250.00,0.00,0.00,168,96
FY 2016-17,021,CANAAN (021),4997796.00,38608.00,304796.00,2286.00,4468000.00,4468000.00,33510.00,0,0,,,,,0.00,0.00,225000.00,2813.00,0.00,0.00,22,29
FY 2016-17,022,CANTERBURY (022),15254648.00,114410.00,1066500.00,7999.00,14188148.00,14188148.00,106411.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,84,62
FY 2016-17,023,CANTON (023),61485809.00,466148.00,2775200.00,20814.00,57260809.00,57260809.00,429456.00,0,0,,,,,0.00,0.00,1000800.00,12510.00,449000.00,3368.00,207,103
FY 2016-17,024,CHAPLIN (024),8366875.00,62752.00,235000.00,1763.00,8131875.00,8131875.00,60989.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,43,23
FY 2016-17,025,CHESHIRE (025),138418670.00,1085614.00,5512405.00,41343.00,122366871.00,122339371.00,917545.00,27500,344,,,,,1072000.00,8040.00,9467394.00,118342.00,0.00,0.00,443,219
FY 2016-17,026,CHESTER (026),15691483.00,118936.00,1344000.00,10080.00,14097483.00,14097483.00,105731.00,0,0,,,,,0.00,0.00,250000.00,3125.00,0.00,0.00,56,30
FY 2016-17,027,CLINTON (027),73627638.00,603211.00,3045500.00,22841.00,61252411.00,60122411.00,450918.00,1130000,14125,,,,,259000.00,1943.00,9070727.00,113384.00,0.00,0.00,266,187
FY 2016-17,028,COLCHESTER (028),69026703.00,526975.00,2221800.00,16664.00,64705103.00,64365103.00,482738.00,340000,4250,,,,,584800.00,4386.00,1515000.00,18938.00,0.00,0.00,285,162
FY 2016-17,029,COLEBROOK (029),6106400.00,45798.00,267000.00,2003.00,5839400.00,5839400.00,43796.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,30,21
FY 2016-17,030,COLUMBIA (030),17855595.00,134142.00,220000.00,1650.00,17590595.00,17590595.00,131929.00,0,0,,,,,0.00,0.00,45000.00,563.00,0.00,0.00,79,53
FY 2016-17,031,CORNWALL (031),14362704.00,125470.00,527500.00,3956.00,13835204.00,10285204.00,77139.00,3550000,44375,,,,,0.00,0.00,0.00,0.00,0.00,0.00,37,27
FY 2016-17,032,COVENTRY (032),45095660.00,338217.00,3078811.00,23091.00,41899849.00,41899849.00,314249.00,0,0,,,,,117000.00,878.00,0.00,0.00,0.00,0.00,222,171
FY 2016-17,033,CROMWELL (033),90237971.00,831656.00,2137090.00,16028.00,56532275.00,56531051.00,423983.00,1224,15,,,,,500000.00,3750.00,30973000.00,387163.00,95606.00,717.00,269,179
FY 2016-17,034,DANBURY (034),407867068.00,3212538.00,7336500.00,55024.00,284673948.00,282231456.00,2116736.00,2442492,30531,,,,,87592200.00,656942.00,28264420.00,353305.00,0.00,0.00,1097,555
FY 2016-17,035,DARIEN (035),523377477.00,5283287.00,2095001.00,15713.00,512452612.00,249691238.00,1872684.00,262761374,3284517,,,,,0.00,0.00,8829864.00,110373.00,0.00,0.00,341,181
FY 2016-17,036,DEEP RIVER (036),18181890.00,148909.00,18000.00,135.00,16579890.00,15654890.00,117412.00,925000,11563,,,,,0.00,0.00,1584000.00,19800.00,0.00,0.00,69,36
FY 2016-17,037,DERBY (037),36030572.00,321396.00,1383833.00,10379.00,24113489.00,24113489.00,180851.00,0,0,,,,,300000.00,2250.00,10233250.00,127916.00,0.00,0.00,163,128
FY 2016-17,038,DURHAM (038),38249580.00,300647.00,1696000.00,12720.00,33998580.00,33798580.00,253489.00,200000,2500,,,,,0.00,0.00,2555000.00,31938.00,0.00,0.00,124,74
FY 2016-17,039,EASTFORD (039),6007500.00,45056.00,462000.00,3465.00,5545500.00,5545500.00,41591.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,32,41
FY 2016-17,040,EAST GRANBY (040),30350636.00,229355.00,1620219.00,12152.00,28310417.00,28310417.00,212328.00,0,0,,,,,75000.00,563.00,345000.00,4313.00,0.00,0.00,119,68
FY 2016-17,041,EAST HADDAM (041),43418920.00,328492.00,1665900.00,12494.00,41050020.00,40925020.00,306938.00,125000,1563,,,,,258000.00,1935.00,445000.00,5563.00,0.00,0.00,187,173
FY 2016-17,042,EAST HAMPTON (042),58149942.00,439325.00,2856525.00,21424.00,54304319.00,54304319.00,407282.00,0,0,,,,,230000.00,1725.00,640000.00,8000.00,119098.00,893.00,249,146
FY 2016-17,043,EAST HARTFORD (043),134419844.00,1218949.00,3394308.00,25457.00,83692811.00,77792668.00,583445.00,5900143,73752,,,,,11072925.00,83047.00,36259800.00,453248.00,0.00,0.00,644,492
FY 2016-17,044,EAST HAVEN (044),87983118.00,690338.00,2522000.00,18915.00,77759118.00,77759118.00,583193.00,0,0,,,,,1609000.00,12068.00,6093000.00,76163.00,0.00,0.00,461,336
FY 2016-17,045,EAST LYME (045),110468836.00,851361.00,4422565.00,33169.00,101960271.00,101420271.00,760652.00,540000,6750,,,,,57000.00,428.00,4029000.00,50363.00,0.00,0.00,371,234
FY 2016-17,046,EASTON (046),59002799.00,455683.00,2037700.00,15283.00,56765099.00,54132599.00,405994.00,2632500,32906,,,,,200000.00,1500.00,0.00,0.00,0.00,0.00,108,65
FY 2016-17,047,EAST WINDSOR (047),54538649.00,461647.00,1258296.00,9437.00,34080854.00,34080854.00,255606.00,0,0,,,,,8678000.00,65085.00,10521500.00,131519.00,0.00,0.00,209,131
FY 2016-17,048,ELLINGTON (048),69052299.00,522667.00,3197305.00,23980.00,53349194.00,53349194.00,400119.00,0,0,,,,,11550900.00,86632.00,954900.00,11936.00,0.00,0.00,235,172
FY 2016-17,049,ENFIELD (049),227947684.00,2154008.00,6638600.00,49790.00,110649926.00,110649926.00,829874.00,0,0,,,,,21779000.00,163343.00,88880158.00,1111002.00,0.00,0.00,675,416
FY 2016-17,050,ESSEX (050),57531825.00,491298.00,1266500.00,9499.00,52460675.00,44303525.00,332276.00,8157150,101964,,,,,0.00,0.00,3804650.00,47558.00,0.00,0.00,130,122
FY 2016-17,051,FAIRFIELD (051),705165055.00,6102652.00,12410896.00,93082.00,633667659.00,522963330.00,3922225.00,110704329,1383804,,,,,7008000.00,52560.00,52078500.00,650981.00,0.00,0.00,1006,472
FY 2016-17,052,FARMINGTON (052),231643677.00,1864238.00,5614300.00,42107.00,148506932.00,143147352.00,1073605.00,5359580,66995,,,,,57500000.00,431250.00,20022444.00,250281.00,0.00,0.00,461,280
FY 2016-17,053,FRANKLIN (053),7728752.00,58211.00,755150.00,5664.00,6973602.00,6924602.00,51935.00,49000,613,,,,,0.00,0.00,0.00,0.00,0.00,0.00,36,27
FY 2016-17,054,GLASTONBURY (054),293129456.00,2564943.00,8741996.00,65565.00,200186835.00,197878877.00,1484092.00,2307958,28849,,,,,13214125.00,99106.00,70986500.00,887331.00,0.00,0.00,637,358
FY 2016-17,055,GOSHEN (055),36162068.00,296416.00,1396900.00,10477.00,32396883.00,27676883.00,207577.00,4720000,59000,,,,,0.00,0.00,320000.00,4000.00,2048285.00,15362.00,92,66
FY 2016-17,056,GRANBY (056),53558963.00,404642.00,1390563.00,10429.00,51201300.00,51201300.00,384010.00,0,0,,,,,377100.00,2828.00,590000.00,7375.00,0.00,0.00,197,97
FY 2016-17,057,GREENWICH (057),2015986887.00,21622769.00,26865040.00,201488.00,1785790072.00,670540880.00,5029057.00,1115249192,13940615,,,,,18007400.00,135056.00,185324375.00,2316555.00,0.00,0.00,972,552
FY 2016-17,058,GRISWOLD (058),26908385.00,209705.00,1035453.00,7766.00,22904532.00,22904532.00,171784.00,0,0,,,,,1389900.00,10424.00,1578500.00,19731.00,0.00,0.00,174,142
FY 2016-17,059,GROTON (059),162774738.00,1300103.00,6036383.00,45273.00,145764205.00,140762887.00,1055722.00,5001318,62516,,,,,117000.00,878.00,10857150.00,135714.00,0.00,0.00,635,344
FY 2016-17,060,GUILFORD (060),178006420.00,1471286.00,3930500.00,29479.00,154586920.00,146778420.00,1100838.00,7808500,97606,,,,,50000.00,375.00,19439000.00,242988.00,0.00,0.00,396,317
FY 2016-17,061,HADDAM (061),40691416.00,309012.00,1953700.00,14653.00,37849916.00,37749916.00,283124.00,100000,1250,,,,,222500.00,1669.00,665300.00,8316.00,0.00,0.00,146,104
FY 2016-17,062,HAMDEN (062),305522497.00,2676302.00,3455670.00,25918.00,167674671.00,161374671.00,1210310.00,6300000,78750,,,,,63715531.00,477866.00,70676625.00,883458.00,0.00,0.00,882,603
FY 2016-17,063,HAMPTON (063),5575595.00,41817.00,388845.00,2916.00,5186750.00,5186750.00,38901.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,29,29
FY 2016-17,064,HARTFORD (064),254665412.00,2451521.00,3989358.00,29920.00,100418888.00,99018888.00,742642.00,1400000,17500,,,,,43350997.00,325132.00,106906169.00,1336327.00,0.00,0.00,807,642
FY 2016-17,065,HARTLAND (065),5320699.00,39905.00,565000.00,4238.00,4755699.00,4755699.00,35668.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,24,31
FY 2016-17,066,HARWINTON (066),22515217.00,168864.00,2527443.00,18956.00,19987774.00,19987774.00,149908.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,96,69
FY 2016-17,067,HEBRON (067),42242638.00,316820.00,2682868.00,20122.00,39544770.00,39544770.00,296586.00,0,0,,,,,15000.00,113.00,0.00,0.00,0.00,0.00,166,93
FY 2016-17,068,KENT (068),21135672.00,174815.00,494862.00,3711.00,19578810.00,17381310.00,130360.00,2197500,27469,,,,,0.00,0.00,1062000.00,13275.00,0.00,0.00,51,36
FY 2016-17,069,KILLINGLY (069),68719108.00,576415.00,3260850.00,24456.00,53255258.00,53253953.00,399405.00,1305,16,,,,,0.00,0.00,12203000.00,152538.00,0.00,0.00,372,252
FY 2016-17,070,KILLINGWORTH (070),36154922.00,272356.00,836000.00,6270.00,35062022.00,34823197.00,261174.00,238825,2985,,,,,256900.00,1927.00,0.00,0.00,0.00,0.00,130,79
FY 2016-17,071,LEBANON (071),30629327.00,231265.00,1844313.00,13832.00,28476014.00,28476014.00,213570.00,0,0,,,,,0.00,0.00,309000.00,3863.00,0.00,0.00,175,114
FY 2016-17,072,LEDYARD (072),62335350.00,478910.00,1287874.00,9659.00,58256631.00,58256631.00,436925.00,0,0,,,,,25000.00,188.00,2279000.00,28488.00,486844.00,3651.00,291,163
FY 2016-17,073,LISBON (073),11612777.00,87096.00,903000.00,6773.00,10709777.00,10709777.00,80323.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,66,57
FY 2016-17,074,LITCHFIELD (074),57944434.00,484583.00,1245266.00,9339.00,54719168.00,46419168.00,348144.00,8300000,103750,,,,,280000.00,2100.00,1700000.00,21250.00,0.00,0.00,154,116
FY 2016-17,075,LYME (075),23473435.00,179418.00,1256100.00,9421.00,22217335.00,21543835.00,161579.00,673500,8419,,,,,0.00,0.00,0.00,0.00,0.00,0.00,63,41
FY 2016-17,076,MADISON (076),174082288.00,1428514.00,2854000.00,21405.00,166295588.00,145005975.00,1087545.00,21289613,266120,,,,,1021500.00,7661.00,3289700.00,41121.00,621500.00,4661.00,354,263
FY 2016-17,077,MANCHESTER (077),226260606.00,2108821.00,8642124.00,64816.00,138231332.00,135230185.00,1014226.00,3001148,37514,,,,,15000.00,113.00,79372150.00,992152.00,0.00,0.00,854,477
FY 2016-17,078,MANSFIELD (078),80048291.00,607362.00,1344000.00,10080.00,54994220.00,54994220.00,412457.00,0,0,,,,,22310071.00,167326.00,1400000.00,17500.00,0.00,0.00,270,154
FY 2016-17,079,MARLBOROUGH (079),29101599.00,220676.00,665000.00,4988.00,28270349.00,27787569.00,208407.00,482780,6035,,,,,166250.00,1247.00,0.00,0.00,0.00,0.00,103,78
FY 2016-17,080,MERIDEN (080),128955446.00,1064826.00,2687500.00,20156.00,104920934.00,104920536.00,786904.00,398,5,,,,,1278000.00,9585.00,19531732.00,244147.00,537281.00,4030.00,803,677
FY 2016-17,081,MIDDLEBURY (081),56498159.00,436831.00,1799039.00,13493.00,54224121.00,52080121.00,390601.00,2144000,26800,,,,,0.00,0.00,475000.00,5938.00,0.00,0.00,169,71
FY 2016-17,082,MIDDLEFIELD (082),22787874.00,177559.00,735000.00,5513.00,20722874.00,20722874.00,155422.00,0,0,,,,,0.00,0.00,1330000.00,16625.00,0.00,0.00,83,55
FY 2016-17,083,MIDDLETOWN (083),168182039.00,1350475.00,2524050.00,18930.00,105643556.00,105643556.00,792327.00,0,0,,,,,42192500.00,316444.00,17821933.00,222774.00,0.00,0.00,601,462
FY 2016-17,084,MILFORD (084),353274274.00,3056673.00,5115752.00,38368.00,271611567.00,266180817.00,1996356.00,5430750,67884,,,,,554500.00,4159.00,75992455.00,949906.00,0.00,0.00,983,499
FY 2016-17,085,MONROE (085),98660378.00,769943.00,6047000.00,45353.00,86482378.00,86482378.00,648618.00,0,0,,,,,133000.00,998.00,5998000.00,74975.00,0.00,0.00,292,170
FY 2016-17,086,MONTVILLE (086),54027323.00,417659.00,2666000.00,19995.00,48854503.00,48854503.00,366409.00,0,0,,,,,16000.00,120.00,2490820.00,31135.00,0.00,0.00,298,209
FY 2016-17,087,MORRIS (087),13584700.00,116385.00,122500.00,919.00,13462200.00,10562200.00,79217.00,2900000,36250,,,,,0.00,0.00,0.00,0.00,0.00,0.00,38,23
FY 2016-17,088,NAUGATUCK (088),70597406.00,560856.00,3461929.00,25964.00,58816077.00,58751077.00,440633.00,65000,813,,,,,2109400.00,15821.00,6210000.00,77625.00,0.00,0.00,428,341
FY 2016-17,089,NEW BRITAIN (089),147446237.00,1220070.00,4325900.00,32444.00,88393771.00,88158771.00,661191.00,235000,2938,,,,,32117000.00,240878.00,22609567.00,282620.00,0.00,0.00,709,621
FY 2016-17,090,NEW CANAAN (090),480011133.00,4794332.00,4941500.00,37061.00,454079633.00,234854922.00,1761412.00,219224711,2740309,,,,,1365000.00,10238.00,19625000.00,245313.00,0.00,0.00,341,157
FY 2016-17,091,NEW FAIRFIELD (091),88438977.00,688688.00,3001300.00,22510.00,83582677.00,80283639.00,602127.00,3299038,41238,,,,,75000.00,563.00,1780000.00,22250.00,0.00,0.00,247,136
FY 2016-17,092,NEW HARTFORD (092),26604151.00,203156.00,1706957.00,12802.00,24032194.00,24032194.00,180241.00,0,0,,,,,140000.00,1050.00,725000.00,9063.00,0.00,0.00,120,94
FY 2016-17,093,NEW HAVEN (093),284498534.00,2450837.00,3229500.00,24221.00,178537835.00,173766335.00,1303248.00,4771500,59644,,,,,44083124.00,330623.00,58648075.00,733101.00,0.00,0.00,899,1028
FY 2016-17,094,NEWINGTON (094),135448075.00,1064793.00,1925000.00,14438.00,101186041.00,101186041.00,758895.00,0,0,,,,,22394900.00,167962.00,9786438.00,122330.00,155696.00,1168.00,501,279
FY 2016-17,095,NEW LONDON (095),47413378.00,406815.00,998900.00,7492.00,36241478.00,36171478.00,271286.00,70000,875,,,,,0.00,0.00,10173000.00,127163.00,0.00,0.00,259,241
FY 2016-17,096,NEW MILFORD (096),139261856.00,1102164.00,5772388.00,43293.00,123075818.00,120860818.00,906456.00,2215000,27688,,,,,1088650.00,8165.00,9325000.00,116563.00,0.00,0.00,513,327
FY 2016-17,097,NEWTOWN (097),204359186.00,1602481.00,7576600.00,56825.00,182699286.00,182390286.00,1367927.00,309000,3863,,,,,153000.00,1148.00,13648350.00,170604.00,281950.00,2115.00,511,295
FY 2016-17,098,NORFOLK (098),10464761.00,83661.00,861500.00,6461.00,8318261.00,8218261.00,61637.00,100000,1250,,,,,350000.00,2625.00,935000.00,11688.00,0.00,0.00,36,42
FY 2016-17,099,NORTH BRANFORD (099),124575664.00,954438.00,2354150.00,17656.00,49274692.00,49272548.00,369544.00,2144,27,,,,,68924822.00,516936.00,4022000.00,50275.00,0.00,0.00,213,159
FY 2016-17,100,NORTH CANAAN (100),7420000.00,61063.00,832500.00,6244.00,5505000.00,5505000.00,41288.00,0,0,,,,,0.00,0.00,1082500.00,13531.00,0.00,0.00,43,42
FY 2016-17,101,NORTH HAVEN (101),131155342.00,1110741.00,5161052.00,38708.00,99413142.00,99288142.00,744661.00,125000,1563,,,,,1290957.00,9682.00,25290191.00,316127.00,0.00,0.00,384,246
FY 2016-17,102,NORTH STONINGTON (102),25826067.00,200096.00,1288400.00,9663.00,23257667.00,23257667.00,174433.00,0,0,,,,,0.00,0.00,1280000.00,16000.00,0.00,0.00,110,100
FY 2016-17,103,NORWALK (103),687086048.00,6075674.00,9454721.00,70910.00,558147723.00,475624889.00,3567187.00,82522834,1031535,,,,,17073629.00,128052.00,101982873.00,1274786.00,427102.00,3203.00,1241,709
FY 2016-17,104,NORWICH (104),107659282.00,963434.00,1845751.00,13843.00,57468588.00,57468588.00,431014.00,0,0,,,,,17147000.00,128603.00,31197943.00,389974.00,0.00,0.00,521,450
FY 2016-17,105,OLD LYME (105),71393443.00,563604.00,1375500.00,10316.00,69327943.00,63952243.00,479642.00,5375700,67196,,,,,435000.00,3263.00,255000.00,3188.00,0.00,0.00,192,142
FY 2016-17,106,OLD SAYBROOK (106),112331538.00,950119.00,1783000.00,13373.00,99503016.00,89016136.00,667621.00,10486880,131086,,,,,6000.00,45.00,11039522.00,137994.00,0.00,0.00,255,162
FY 2016-17,107,ORANGE (107),95602232.00,826098.00,2565893.00,19244.00,69169189.00,68272883.00,512047.00,896306,11204,,,,,2947149.00,22104.00,20920000.00,261500.00,0.00,0.00,204,136
FY 2016-17,108,OXFORD (108),64084744.00,484786.00,2094775.00,15711.00,61104969.00,61104969.00,458287.00,0,0,,,,,55000.00,413.00,830000.00,10375.00,0.00,0.00,205,135
FY 2016-17,109,PLAINFIELD (109),48940300.00,405105.00,2185500.00,16391.00,33434260.00,32559260.00,244194.00,875000,10938,,,,,6585000.00,49388.00,6735540.00,84194.00,0.00,0.00,264,155
FY 2016-17,110,PLAINVILLE (110),94010890.00,915482.00,3000847.00,22506.00,49378043.00,47578043.00,356835.00,1800000,22500,,,,,1352000.00,10140.00,40280000.00,503500.00,0.00,0.00,284,216
FY 2016-17,111,PLYMOUTH (111),31886263.00,241772.00,1092800.00,8196.00,30068463.00,30068463.00,225513.00,0,0,,,,,200000.00,1500.00,525000.00,6563.00,0.00,0.00,208,154
FY 2016-17,112,POMFRET (112),18038900.00,138667.00,2358700.00,17690.00,15105200.00,15005200.00,112539.00,100000,1250,,,,,0.00,0.00,575000.00,7188.00,0.00,0.00,69,58
FY 2016-17,113,PORTLAND (113),37821399.00,304871.00,2084125.00,15631.00,30265225.00,30265225.00,226989.00,0,0,,,,,1229900.00,9224.00,4242149.00,53027.00,0.00,0.00,165,133
FY 2016-17,114,PRESTON (114),16266141.00,121996.00,1059705.00,7948.00,15206436.00,15206436.00,114048.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,92,73
FY 2016-17,115,PROSPECT (115),36452229.00,278292.00,1956538.00,14674.00,33515691.00,33515691.00,251368.00,0,0,,,,,0.00,0.00,980000.00,12250.00,0.00,0.00,139,76
FY 2016-17,116,PUTNAM (116),31229358.00,255409.00,2374286.00,17807.00,24617334.00,24617334.00,184630.00,0,0,,,,,0.00,0.00,4237738.00,52972.00,0.00,0.00,187,108
FY 2016-17,117,REDDING (117),70869689.00,539232.00,1367190.00,10254.00,69381499.00,67960699.00,509705.00,1420800,17760,,,,,0.00,0.00,121000.00,1513.00,0.00,0.00,145,80
FY 2016-17,118,RIDGEFIELD (118),317729775.00,2580737.00,5579251.00,41844.00,297233024.00,261997865.00,1964984.00,35235159,440439,,,,,10600000.00,79500.00,4317500.00,53969.00,0.00,0.00,486,212
FY 2016-17,119,ROCKY HILL (119),96368148.00,763109.00,6508992.00,48817.00,67407877.00,67017122.00,502628.00,390755,4884,,,,,14352000.00,107640.00,7678789.00,95985.00,420489.00,3154.00,309,177
FY 2016-17,120,ROXBURY (120),32438633.00,279340.00,810000.00,6075.00,31628633.00,24418500.00,183139.00,7210133,90127,,,,,0.00,0.00,0.00,0.00,0.00,0.00,51,42
FY 2016-17,121,SALEM (121),16057466.00,120431.00,1393800.00,10454.00,14600666.00,14600666.00,109505.00,0,0,,,,,63000.00,473.00,0.00,0.00,0.00,0.00,84,57
FY 2016-17,122,SALISBURY (122),52024976.00,457330.00,1593500.00,11951.00,47836476.00,35082976.00,263122.00,12753500,159419,,,,,1920000.00,14400.00,675000.00,8438.00,0.00,0.00,94,63
FY 2016-17,123,SCOTLAND (123),4897521.00,37431.00,305000.00,2288.00,4452521.00,4452521.00,33394.00,0,0,,,,,0.00,0.00,140000.00,1750.00,0.00,0.00,31,30
FY 2016-17,124,SEYMOUR (124),49230962.00,376107.00,985700.00,7393.00,46663974.00,46663974.00,349980.00,0,0,,,,,0.00,0.00,1375000.00,17188.00,206288.00,1547.00,245,162
FY 2016-17,125,SHARON (125),35969443.00,305577.00,2832483.00,21244.00,32326960.00,25975710.00,194818.00,6351250,79391,,,,,0.00,0.00,810000.00,10125.00,0.00,0.00,79,62
FY 2016-17,126,SHELTON (126),229478818.00,1806634.00,1750000.00,13125.00,192392032.00,192317032.00,1442378.00,75000,938,,,,,18303286.00,137275.00,17033500.00,212919.00,0.00,0.00,625,381
FY 2016-17,127,SHERMAN (127),35951738.00,290093.00,2960900.00,22207.00,32990838.00,28899838.00,216749.00,4091000,51138,,,,,0.00,0.00,0.00,0.00,0.00,0.00,81,51
FY 2016-17,128,SIMSBURY (128),183473687.00,1413595.00,3884400.00,29133.00,136093587.00,135580887.00,1016857.00,512700,6409,,,,,36500000.00,273750.00,6995700.00,87446.00,0.00,0.00,449,211
FY 2016-17,129,SOMERS (129),40487979.00,321465.00,1348600.00,10115.00,37040829.00,35324829.00,264936.00,1716000,21450,,,,,253550.00,1902.00,1845000.00,23063.00,0.00,0.00,135,86
FY 2016-17,130,SOUTHBURY (130),127053404.00,961983.00,4607000.00,34553.00,120667904.00,120627904.00,904709.00,40000,500,,,,,2000.00,15.00,1776500.00,22206.00,0.00,0.00,547,242
FY 2016-17,131,SOUTHINGTON (131),192060147.00,1489116.00,11834472.00,88759.00,150140583.00,150139619.00,1126047.00,964,12,,,,,20152000.00,151140.00,9732029.00,121650.00,201063.00,1508.00,657,522
FY 2016-17,132,SOUTH WINDSOR (132),150583294.00,1281701.00,5463926.00,40979.00,113901750.00,113901750.00,854263.00,0,0,,,,,595000.00,4463.00,30465281.00,380816.00,157337.00,1180.00,502,204
FY 2016-17,133,SPRAGUE (133),6245954.00,46845.00,297500.00,2231.00,5948454.00,5948454.00,44613.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,41,21
FY 2016-17,134,STAFFORD (134),32604390.00,265361.00,992950.00,7447.00,27334190.00,27334190.00,205006.00,0,0,,,,,111600.00,837.00,4165650.00,52071.00,0.00,0.00,229,186
FY 2016-17,135,STAMFORD (135),1408322322.00,12950858.00,15873126.00,119048.00,773385561.00,702544706.00,5269085.00,70840855,885511,,,,,163657926.00,1227434.00,406847355.00,5085592.00,48558354.00,364188.00,1689,915
FY 2016-17,136,STERLING (136),13107873.00,98309.00,654400.00,4908.00,12453473.00,12453473.00,93401.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,76,46
FY 2016-17,137,STONINGTON (137),147140998.00,1309137.00,3055714.00,22918.00,115570477.00,102757876.00,770684.00,12812601,160158,,,,,211500.00,1586.00,28303307.00,353791.00,0.00,0.00,355,278
FY 2016-17,138,STRATFORD (138),242881723.00,1984767.00,6516000.00,48870.00,203331372.00,201431372.00,1510735.00,1900000,23750,,,,,2303500.00,17276.00,30730851.00,384136.00,0.00,0.00,967,568
FY 2016-17,139,SUFFIELD (139),82458278.00,664906.00,5506995.00,41302.00,67730783.00,67657527.00,507431.00,73256,916,,,,,0.00,0.00,9220500.00,115256.00,0.00,0.00,270,163
FY 2016-17,140,THOMASTON (140),20490669.00,157431.00,320000.00,2400.00,19220206.00,19220047.00,144150.00,159,2,,,,,89000.00,668.00,750000.00,9375.00,111463.00,836.00,110,66
FY 2016-17,141,THOMPSON (141),35261995.00,272603.00,2740650.00,20555.00,30557862.00,30557862.00,229184.00,0,0,,,,,192000.00,1440.00,1627692.00,20346.00,143791.00,1078.00,200,149
FY 2016-17,142,TOLLAND (142),79296526.00,694670.00,1406750.00,10551.00,50491548.00,50491548.00,378687.00,0,0,,,,,7409000.00,55568.00,19989228.00,249865.00,0.00,0.00,218,132
FY 2016-17,143,TORRINGTON (143),88067041.00,766227.00,809706.00,6073.00,65316004.00,65090575.00,488179.00,225430,2818,,,,,1021900.00,7664.00,20919431.00,261493.00,0.00,0.00,582,423
